********************************************************************************
LOGGING TIME: 20200930_181119
CLIENT IP: 127.0.1.1
USERNAME: baba
OS: Linux
ARCHITECTURE: amd64
VERSION: 4.15.0-118-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 873, 928, 8
MM, 873, 932, 7
MM, 873, 936, 8
MM, 873, 938, 6
MM, 873, 941, 8
MM, 873, 944, 7
MM, 873, 946, 7
MM, 873, 948, 8
MM, 873, 950, 7
MM, 874, 952, 7
MM, 875, 954, 7
MM, 876, 958, 8
MM, 877, 959, 7
MM, 878, 962, 7
MM, 880, 964, 7
MM, 881, 967, 9
MM, 881, 968, 9
MM, 882, 970, 6
MM, 883, 973, 6
MM, 884, 974, 8
MM, 885, 975, 10
MM, 885, 976, 36
MM, 886, 978, 22
MM, 886, 979, 2
MM, 887, 980, 1
MM, 888, 983, 1
MM, 891, 988, 1
MM, 896, 999, 3
MM, 902, 1017, 1
MM, 906, 1030, 1
MM, 910, 1040, 1
MM, 911, 1047, 8
MM, 912, 1052, 9
MM, 913, 1058, 5
MM, 913, 1061, 8
MM, 913, 1063, 6
MM, 913, 1064, 8
MM, 913, 1066, 7
MM, 913, 1066, 7
MM, 913, 1067, 8
MM, 913, 1067, 8
MM, 913, 1066, 116
MM, 913, 1064, 7
MM, 913, 1062, 7
MM, 913, 1061, 9
MM, 913, 1060, 6
MM, 913, 1059, 7
MM, 913, 1057, 8
MM, 913, 1056, 7
MM, 913, 1056, 7
MM, 913, 1054, 7
MM, 913, 1054, 8
MM, 913, 1052, 7
MM, 913, 1051, 7
MM, 913, 1051, 7
MM, 913, 1049, 8
MM, 913, 1048, 7
MM, 913, 1047, 7
MM, 913, 1046, 8
MM, 913, 1046, 8
MM, 913, 1045, 8
MM, 913, 1044, 7
MM, 913, 1044, 7
MM, 913, 1043, 7
MM, 913, 1042, 8
MM, 913, 1042, 6
MM, 913, 1041, 8
MM, 913, 1041, 7
MM, 913, 1040, 6
MM, 913, 1039, 8
MM, 913, 1039, 29
MM, 913, 1039, 226
MP, 1, 202
MR, 1, 99
MC, 1, 0
MM, 912, 1039, 85
MM, 911, 1039, 8
MM, 911, 1039, 7
MM, 910, 1037, 10
MM, 909, 1032, 5
MM, 907, 1025, 8
MM, 905, 1009, 8
MM, 903, 994, 6
